    h  k  l  FP     SIGFP  FC     PHIC FC_ALL PHIC_ALL FWT    PHWT DELFWT PHDELWT FOM  FC_ALL_LS PHIC_ALL_LS 
171 -7 21 18 53.89  564.98 167.37 2.56 158.71 2.56     157.28 5.70 315.99 5.70    0.01 168.25    2.59        
172 -7 21 19 299.59 106.16 310.94 2.52 321.89 2.52     224.38 2.52 97.51  5.66    0.91 312.58    2.52        
173 -7 21 20 323.10 112.34 331.30 4.66 338.54 4.67     253.79 4.67 84.76  1.53    0.92 334.91    4.67        
174 -7 22 2  720.33 47.91  649.22 2.40 640.38 2.37     789.36 2.37 148.98 2.37    0.99 632.94    2.37        
175 -7 22 3  466.10 71.07  453.08 3.43 447.76 3.42     462.38 3.42 14.62  3.42    0.98 443.49    3.42        
176 -7 22 4  244.73 111.34 300.81 6.09 308.06 6.12     121.16 6.12 186.91 2.98    0.88 302.77    6.11        
177 -7 22 5  426.81 66.72  517.88 2.20 566.80 2.17     270.19 2.17 296.61 5.31    0.98 541.27    2.18        
178 -7 22 6  507.55 60.69  410.99 0.92 410.49 0.90     583.20 0.90 172.72 0.90    0.98 407.07    0.91        
179 -7 22 7  291.42 101.00 299.97 2.11 297.55 2.19     231.23 2.19 66.32  5.33    0.91 298.97    2.16        
180 -7 22 8  370.52 77.86  355.25 4.44 364.17 4.41     345.60 4.41 18.57  1.27    0.96 373.67    4.41        
181 -7 22 9  295.56 102.76 352.18 2.79 315.01 2.82     223.75 2.82 91.27  5.96    0.91 316.18    2.85        
182 -7 22 10 195.66 146.47 180.48 4.55 163.28 4.70     37.52  4.70 125.75 1.55    0.51 177.85    4.72        
183 -7 22 11 244.97 117.23 224.08 5.22 204.87 5.54     177.79 5.54 27.08  2.40    0.78 221.60    5.31        
184 -7 22 12 273.86 102.90 290.59 0.38 316.47 0.20     178.63 0.20 137.84 3.34    0.90 298.77    0.34        
185 -7 22 13 193.73 152.22 320.13 4.75 308.17 4.42     30.92  1.28 339.09 1.28    0.72 317.40    4.67        
186 -7 22 14 332.27 115.19 372.15 1.28 390.80 1.30     225.09 1.30 165.71 4.44    0.93 388.28    1.31        
187 -7 22 15 427.74 89.76  281.29 4.30 280.07 4.30     528.03 4.30 247.96 4.30    0.94 280.67    4.33        
188 -7 22 16 262.20 120.29 317.83 1.95 300.68 1.95     154.67 1.95 146.00 5.09    0.87 330.47    1.95        
189 -7 22 17 524.12 62.67  588.84 3.75 596.33 3.75     437.07 3.75 159.26 0.61    0.99 582.57    3.75        
190 -7 22 19 478.02 73.29  502.85 3.70 487.62 3.70     447.95 3.70 39.66  0.55    0.98 509.32    3.70        
191 -7 22 20 364.95 91.10  357.53 3.80 338.32 3.80     353.68 3.80 15.36  3.80    0.95 359.36    3.80        
192 -7 22 21 309.01 107.27 327.67 0.56 359.11 0.49     213.23 0.49 145.88 3.64    0.93 337.36    0.55        
193 -7 23 1  349.13 81.37  324.94 5.33 306.30 5.36     352.49 5.36 46.20  5.36    0.94 322.77    5.37        
194 -7 23 2  565.46 55.01  387.47 1.82 375.61 1.83     733.43 1.83 357.82 1.83    0.98 406.56    1.83        
195 -7 23 3  643.85 52.83  587.55 5.47 545.44 5.47     727.67 5.47 182.23 5.47    0.99 574.53    5.46        
196 -7 23 4  767.45 45.69  673.14 0.12 626.05 0.12     897.27 0.12 271.21 0.12    0.99 691.34    0.12        
197 -7 23 5  164.68 172.95 183.96 5.15 164.54 5.16     45.89  2.02 210.43 2.02    0.36 174.55    5.17        
198 -7 23 6  365.89 82.10  401.21 1.25 380.39 1.23     319.40 1.23 60.99  4.37    0.96 408.88    1.24        
199 -7 23 7  548.53 65.60  422.53 2.05 444.99 2.06     630.62 2.06 185.63 2.06    0.98 441.81    2.05        
200 -7 23 8  391.59 82.18  312.36 1.03 307.05 1.19     436.30 1.19 129.24 1.19    0.95 316.33    1.06        
    
