                    h          k          l       FREE         FP      SIGFP      FCalc    PHICalc
       443        -34          7         17          0     213.14     117.33     201.06       0.93
       444        -34          8          1          1     237.93      73.05     140.83      -2.43
       445        -34          8          2          1     737.75      67.43     628.41       0.80
       446        -34          8          3          1     415.39     107.71     449.36       0.31
       447        -34          8          4          1     218.66     169.87     205.93      -2.99
       448        -34          8          5          1     242.76      73.16     426.59      -0.73
       449        -34          8          6          1     483.57      47.66     403.05       0.69
       450        -34          8         12          0     442.58      37.78     525.40      -0.60
       451        -34          8         13          1     286.44     144.78     110.04      -2.60
       452        -34          8         14          1     225.20     133.23     146.17      -1.19
       453        -34          8         15          1     284.65     111.95     218.02       2.50
       454        -34          8         16          1     213.01     221.03     314.72       1.60
