         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc         h          k          l       FREE         FP      SIGFP      FCalc    PHICalc 	h 	k 	l 	FP 	SIGFP 	FCalc 	PHICalc 	
1283	-9  	11  	9  	97.78 	2.13 	85.06 	-2.20
1284	-9  	11  	10  	57.73 	2.72 	43.84 	-1.25
1285	-9  	11  	11  	31.30 	2.11 	24.78 	0.34
1286	-9  	11  	12  	48.55 	7.49 	45.17 	2.84
1287	-9  	11  	13  	27.46 	2.09 	34.41 	-2.99
1288	-9  	11  	14  	16.65 	3.27 	9.11 	1.15
1289	-9  	12  	1  	14.74 	5.65 	22.34 	0.51
1290	-9  	12  	2  	19.64 	5.61 	22.35 	2.16
1291	-9  	12  	7  	13.02 	5.45 	14.56 	-2.76
1292	-9  	12  	8  	13.56 	4.82 	13.70 	2.46
1293	-9  	12  	10  	14.93 	2.09 	24.89 	-0.34
1294	-9  	13  	1  	16.71 	2.79 	34.61 	-1.81
1295	-9  	13  	2  	72.57 	2.15 	81.17 	0.75
1296	-9  	13  	3  	53.79 	2.14 	56.69 	1.41
1297	-9  	13  	4  	35.54 	2.73 	26.82 	3.05
1298	-9  	13  	5  	48.94 	2.72 	34.35 	-1.96
1299	-9  	13  	6  	86.52 	2.10 	84.50 	-1.68
1300	-9  	13  	7  	49.91 	2.09 	63.64 	-1.42
1301	-9  	13  	9  	25.45 	2.07 	29.09 	3.09
1302	-9  	13  	10  	12.66 	5.89 	14.59 	-1.86
1303	-9  	13  	11  	46.33 	2.05 	26.55 	-0.63
1304	-9  	13  	12  	39.42 	1.46 	41.81 	-0.22
1305	-9  	14  	2  	15.15 	5.45 	16.25 	1.36
1306	-9  	14  	4  	15.57 	5.39 	11.30 	0.83
1307	-9  	14  	6  	14.80 	2.66 	8.85 	-2.42
1308	-9  	14  	7  	15.31 	4.12 	5.00 	2.75
1309	-9  	15  	1  	16.81 	3.30 	16.32 	-1.27
1310	-9  	15  	2  	20.29 	2.68 	17.71 	2.73
1311	-9  	15  	3  	18.09 	3.26 	17.81 	1.70
1312	-9  	15  	4  	53.64 	0.59 	52.65 	-2.70
1313	-9  	15  	5  	48.94 	2.05 	59.58 	-2.66
1314	-9  	15  	6  	36.72 	2.62 	39.51 	2.87
1315	-9  	15  	7  	37.98 	2.61 	29.40 	1.73
1316	-9  	15  	9  	29.86 	2.01 	35.51 	-1.34
1317	-9  	15  	10  	27.15 	3.14 	24.73 	-0.87
1318	-9  	16  	5  	13.54 	2.59 	13.27 	1.68
1319	-9  	16  	6  	18.63 	3.15 	14.70 	0.17
1320	-9  	16  	7  	14.83 	2.57 	8.18 	-1.92
1321	-9  	16  	8  	13.33 	6.52 	8.57 	2.59
1322	-9  	17  	4  	23.06 	2.56 	30.12 	-2.36
1323	-9  	17  	6  	25.34 	2.53 	29.77 	-0.05
1324	-8  	0  	1  	36.64 	8.48 	67.71 	0.00
1325	-8  	0  	3  	80.86 	1.68 	52.04 	3.14
1326	-8  	0  	4  	178.91 	5.34 	186.29 	3.14
1327	-8  	0  	5  	223.52 	6.64 	233.11 	0.00
1328	-8  	0  	6  	120.32 	1.32 	80.93 	0.00
1329	-8  	0  	7  	57.26 	3.62 	55.39 	3.14
1330	-8  	1  	1  	32.21 	8.48 	33.99 	-1.90
1331	-8  	1  	4  	14.34 	4.00 	28.43 	-3.06
1332	-8  	1  	5  	29.21 	12.61 	49.77 	-1.15
1333	-8  	1  	6  	20.81 	9.58 	51.56 	2.69
1334	-8  	1  	7  	16.44 	2.96 	24.06 	1.22
1335	-8  	2  	1  	191.25 	9.82 	117.16 	-1.92
1336	-8  	2  	2  	99.30 	1.35 	119.09 	-2.64
1337	-8  	2  	3  	166.39 	1.34 	161.49 	0.17
1338	-8  	2  	4  	358.04 	7.99 	335.66 	1.98
1339	-8  	2  	5  	243.92 	4.31 	224.37 	-2.66
1340	-8  	2  	6  	55.08 	1.32 	88.81 	2.55
1341	-8  	2  	7  	269.58 	2.96 	267.33 	1.72
1342	-8  	2  	8  	63.10 	1.31 	63.34 	-3.11
1343	-8  	3  	1  	29.71 	12.83 	19.10 	-1.61
1344	-8  	3  	5  	26.11 	6.61 	30.24 	-1.44
1345	-8  	3  	6  	10.53 	1.32 	30.63 	0.28
1346	-8  	3  	7  	12.12 	2.95 	19.38 	-1.62
1347	-8  	3  	8  	10.43 	2.28 	25.00 	-1.33
1348	-8  	3  	9  	7.47 	2.60 	29.27 	-2.19
1349	-8  	4  	1  	383.73 	6.39 	343.15 	-0.43
1350	-8  	4  	2  	114.37 	1.34 	131.75 	-1.01
1351	-8  	4  	3  	139.37 	3.99 	96.67 	0.45
1352	-8  	4  	4  	451.69 	5.96 	429.60 	-0.13
1353	-8  	4  	5  	362.20 	4.61 	344.21 	-0.81
1354	-8  	4  	6  	167.79 	1.97 	170.33 	0.90
1355	-8  	4  	7  	439.43 	2.94 	423.72 	2.90
1356	-8  	4  	8  	715.92 	9.10 	669.76 	2.56
1357	-8  	4  	9  	537.34 	11.65 	503.20 	1.82
1358	-8  	4  	10  	328.37 	8.38 	353.05 	0.93
1359	-8  	4  	11  	41.42 	2.25 	50.15 	2.36
1360	-8  	4  	12  	30.08 	4.16 	46.78 	1.60
1361	-8  	5  	1  	23.43 	3.68 	30.52 	-0.64
1362	-8  	5  	2  	14.31 	6.66 	12.96 	-1.96
1363	-8  	5  	3  	37.40 	6.62 	57.11 	1.10
1364	-8  	5  	5  	15.40 	3.28 	22.13 	0.18
1365	-8  	5  	10  	18.92 	6.41 	59.75 	1.90
1366	-8  	5  	11  	8.95 	1.92 	16.09 	2.37
1367	-8  	5  	12  	13.69 	3.50 	18.01 	2.81
1368	-8  	5  	14  	10.13 	1.27 	11.02 	1.54
1369	-8  	5  	15  	10.73 	4.42 	22.31 	0.50
1370	-8  	6  	1  	213.92 	1.33 	193.44 	2.44
1371	-8  	6  	2  	163.76 	1.32 	116.28 	2.47
1372	-8  	6  	3  	207.63 	3.95 	174.34 	1.64
1373	-8  	6  	4  	26.52 	2.62 	35.63 	-0.58
1374	-8  	6  	5  	99.67 	1.63 	86.85 	0.12
1375	-8  	6  	6  	265.83 	4.21 	222.10 	0.34
1376	-8  	6  	7  	150.71 	1.29 	120.89 	1.84
1377	-8  	6  	8  	271.53 	2.25 	250.46 	2.45
1378	-8  	6  	9  	256.34 	5.12 	221.71 	2.78
1379	-8  	6  	10  	40.17 	2.55 	73.03 	-2.72
1380	-8  	6  	11  	36.53 	1.27 	30.52 	-0.85
1381	-8  	6  	12  	62.67 	0.63 	52.00 	-1.60
1382	-8  	6  	13  	31.24 	0.63 	39.10 	-2.96
1383	-8  	6  	14  	23.28 	1.57 	17.99 	-0.06
1384	-8  	6  	15  	21.96 	2.20 	33.80 	0.09
1385	-8  	7  	1  	35.68 	9.58 	36.36 	0.14
1386	-8  	7  	3  	20.59 	5.23 	27.96 	2.78
1387	-8  	7  	5  	36.55 	9.38 	29.90 	-2.25
1388	-8  	7  	6  	30.58 	8.05 	50.63 	1.98
1389	-8  	7  	7  	11.54 	4.17 	16.52 	1.69
1390	-8  	7  	8  	18.19 	3.19 	17.43 	-0.12
1391	-8  	7  	9  	13.66 	2.22 	30.19 	-2.42
1392	-8  	7  	11  	11.35 	3.47 	30.85 	-0.94
1393	-8  	7  	12  	13.52 	3.46 	14.83 	-0.06
1394	-8  	7  	13  	8.46 	3.45 	19.33 	-1.63
1395	-8  	8  	1  	45.55 	2.29 	33.66 	1.99
1396	-8  	8  	2  	132.30 	3.26 	121.09 	2.90
1397	-8  	8  	3  	153.63 	2.59 	127.26 	-0.31
1398	-8  	8  	4  	126.39 	1.61 	114.91 	-0.35
1399	-8  	8  	5  	149.83 	2.25 	129.94 	1.41
1400	-8  	8  	6  	105.06 	1.28 	93.05 	0.74
1401	-8  	8  	7  	62.30 	1.59 	82.19 	-2.57
1402	-8  	8  	8  	28.49 	2.85 	46.29 	2.25
1403	-8  	8  	9  	81.01 	1.26 	60.00 	0.39
1404	-8  	8  	10  	61.54 	2.20 	53.08 	1.76
1405	-8  	8  	11  	91.66 	7.20 	103.17 	-2.37
1406	-8  	8  	12  	89.17 	0.62 	75.27 	-2.40
1407	-8  	8  	13  	31.39 	2.18 	22.20 	1.57
1408	-8  	8  	15  	16.07 	2.16 	22.68 	-0.68
1409	-8  	9  	1  	33.77 	11.04 	28.12 	-1.16
1410	-8  	9  	5  	31.47 	9.22 	38.52 	-1.81
1411	-8  	9  	6  	27.84 	12.02 	25.92 	-1.52
1412	-8  	9  	8  	16.94 	4.08 	32.10 	-1.30
1413	-8  	9  	9  	13.43 	5.00 	37.23 	0.24
1414	-8  	10  	1  	103.81 	1.29 	71.85 	0.74
1415	-8  	10  	2  	48.26 	1.92 	43.33 	-1.08
1416	-8  	10  	3  	45.45 	2.86 	38.83 	-0.07
1417	-8  	10  	4  	17.08 	2.85 	43.35 	1.72
1418	-8  	10  	5  	48.77 	1.26 	45.21 	1.38
1419	-8  	10  	6  	72.34 	1.88 	69.49 	-1.41
1420	-8  	10  	7  	87.91 	1.25 	70.55 	-2.48
1421	-8  	10  	8  	103.99 	2.48 	97.97 	2.41
1422	-8  	10  	9  	98.00 	1.55 	72.42 	2.71
1423	-8  	10  	10  	37.57 	2.77 	68.44 	-0.53
1424	-8  	10  	11  	73.94 	1.53 	44.88 	-1.31
1425	-8  	10  	12  	44.03 	3.36 	31.40 	-1.97
1426	-8  	10  	13  	17.98 	1.52 	37.92 	-1.92
1427	-8  	10  	14  	41.02 	1.52 	53.93 	-1.17
1428	-8  	11  	1  	16.52 	3.50 	14.97 	1.97
1429	-8  	11  	2  	16.43 	2.84 	15.85 	-0.37
1430	-8  	11  	3  	15.71 	5.03 	19.26 	2.79
1431	-8  	11  	5  	29.55 	11.82 	23.60 	-1.06
1432	-8  	11  	6  	13.31 	4.95 	25.56 	-2.77
1433	-8  	11  	7  	15.41 	5.55 	6.74 	0.77
1434	-8  	12  	1  	67.16 	1.26 	49.64 	0.29
1435	-8  	12  	2  	44.94 	2.81 	40.62 	2.68
1436	-8  	12  	3  	51.52 	1.86 	41.52 	2.04
1437	-8  	12  	4  	27.17 	1.24 	54.52 	1.24
1438	-8  	12  	5  	19.97 	2.15 	41.45 	2.31
1439	-8  	12  	6  	57.80 	2.14 	76.69 	2.31
1440	-8  	12  	7  	22.53 	2.13 	19.84 	3.11
1441	-8  	12  	8  	12.43 	4.85 	13.66 	-1.42
1442	-8  	12  	9  	29.89 	2.11 	29.76 	-1.40
1443	-8  	12  	10  	19.55 	2.10 	13.14 	-2.63
1444	-8  	12  	11  	20.37 	1.50 	42.68 	1.50
1445	-8  	12  	12  	12.24 	4.18 	37.54 	0.74
1446	-8  	13  	2  	16.01 	3.39 	13.01 	2.70
1447	-8  	13  	3  	15.31 	5.51 	27.31 	0.79
1448	-8  	13  	4  	22.54 	7.01 	19.04 	0.64
1449	-8  	13  	5  	14.25 	5.46 	19.99 	0.46
1450	-8  	13  	10  	11.27 	5.34 	5.48 	2.42
1451	-8  	14  	1  	26.85 	3.36 	48.33 	-1.67
1452	-8  	14  	2  	19.72 	3.34 	28.95 	-1.01
1453	-8  	14  	3  	27.76 	3.32 	27.15 	-2.01
1454	-8  	14  	4  	83.16 	2.10 	102.85 	-2.39
1455	-8  	14  	5  	91.41 	1.49 	71.23 	-2.74
1456	-8  	14  	6  	22.00 	3.27 	20.96 	-0.10
1457	-8  	14  	7  	15.39 	3.26 	32.00 	2.50
1458	-8  	14  	9  	49.60 	1.47 	22.82 	-2.57
1459	-8  	14  	10  	24.27 	2.63 	16.00 	-2.36
1460	-8  	14  	11  	15.15 	4.08 	24.43 	-2.35
1461	-8  	15  	1  	17.72 	2.10 	11.79 	-1.37
1462	-8  	15  	2  	14.93 	5.38 	29.42 	2.65
1463	-8  	15  	3  	21.98 	3.27 	6.37 	-2.23
1464	-8  	15  	4  	17.44 	2.66 	15.55 	1.64
1465	-8  	15  	5  	15.88 	5.29 	9.32 	-1.79
1466	-8  	15  	7  	17.19 	4.08 	9.79 	2.41
1467	-8  	15  	9  	11.85 	5.20 	2.59 	1.30
1468	-8  	16  	1  	28.06 	2.66 	29.56 	1.35
1469	-8  	16  	3  	27.75 	2.05 	25.92 	1.44
1470	-8  	16  	4  	23.54 	2.03 	29.39 	-2.62
1471	-8  	16  	5  	15.04 	3.18 	38.06 	-2.72
1472	-8  	16  	7  	38.11 	2.58 	63.79 	0.13
1473	-8  	16  	8  	19.97 	3.14 	26.50 	0.05
1474	-8  	17  	2  	18.18 	2.60 	5.65 	0.56
1475	-8  	17  	3  	15.50 	3.16 	8.38 	2.86
1476	-8  	17  	6  	14.14 	5.65 	11.93 	1.25
1477	-7  	0  	6  	5.98 	2.99 	22.64 	3.14
1478	-7  	1  	1  	338.90 	6.78 	317.93 	-1.89
1479	-7  	1  	2  	127.61 	3.04 	117.14 	1.89
1480	-7  	1  	3  	202.62 	5.71 	209.58 	1.11
1481	-7  	1  	4  	98.02 	1.67 	116.24 	-2.43
1482	-7  	1  	5  	31.98 	0.67 	60.74 	-2.84
1483	-7  	1  	6  	47.45 	0.66 	42.39 	-2.76
1484	-7  	1  	7  	29.09 	2.97 	33.93 	1.72
1485	-7  	2  	1  	32.18 	8.47 	41.51 	-0.80
1486	-7  	2  	2  	17.53 	3.71 	29.54 	2.22
1487	-7  	2  	3  	11.41 	4.70 	24.99 	2.90
1488	-7  	2  	6  	8.28 	2.32 	8.18 	-2.86
1489	-7  	2  	7  	5.28 	2.31 	29.45 	0.90
1490	-7  	3  	1  	231.04 	6.08 	225.03 	-1.81
1491	-7  	3  	2  	304.54 	5.04 	263.67 	-0.67
1492	-7  	3  	3  	232.20 	4.68 	227.62 	0.69
1493	-7  	3  	4  	150.56 	3.66 	148.25 	2.53
1494	-7  	3  	5  	228.53 	4.98 	185.50 	1.17
1495	-7  	3  	6  	102.08 	1.65 	118.96 	0.27
1496	-7  	3  	7  	488.08 	4.61 	473.56 	-0.76
1497	-7  	3  	8  	536.52 	14.43 	474.42 	-0.96
1498	-7  	3  	9  	387.97 	12.09 	360.71 	-1.62
1499	-7  	3  	10  	389.04 	6.19 	352.41 	3.11
1500	-7  	3  	11  	49.38 	2.60 	57.57 	-0.47
1501	-7  	3  	13  	20.36 	2.91 	25.87 	2.34
1502	-7  	3  	14  	10.96 	1.61 	17.70 	1.51
1503	-7  	3  	15  	17.38 	2.25 	11.19 	-2.50
1504	-7  	4  	2  	17.75 	4.35 	24.60 	-1.50
1505	-7  	4  	3  	24.67 	9.67 	52.62 	-0.42
1506	-7  	4  	4  	11.61 	2.32 	29.30 	2.10
1507	-7  	4  	5  	24.45 	6.61 	42.83 	-1.94
1508	-7  	4  	7  	19.34 	8.20 	50.33 	0.77
1509	-7  	4  	8  	10.45 	2.94 	25.51 	-0.16
1510	-7  	4  	9  	20.51 	5.21 	14.17 	3.09
1511	-7  	4  	10  	12.33 	2.92 	29.30 	-1.19
1512	-7  	4  	11  	20.39 	2.91 	33.05 	-0.24
1513	-7  	5  	1  	231.73 	3.01 	210.66 	0.12
1514	-7  	5  	2  	171.62 	1.33 	149.37 	2.60
1515	-7  	5  	3  	114.10 	3.32 	102.18 	2.96
1516	-7  	5  	4  	440.85 	5.94 	392.03 	1.91
1517	-7  	5  	5  	452.80 	7.56 	422.43 	2.93
1518	-7  	5  	6  	169.33 	2.29 	156.05 	-2.51
1519	-7  	5  	7  	279.95 	4.24 	264.17 	-0.34
1520	-7  	5  	8  	205.15 	2.60 	199.02 	-2.19
1521	-7  	5  	9  	392.08 	4.21 	351.81 	-2.35
1522	-7  	5  	10  	12.92 	2.58 	17.53 	2.72
1523	-7  	5  	11  	51.21 	0.64 	63.52 	-2.54
1524	-7  	5  	12  	64.24 	0.64 	73.38 	-2.99
1525	-7  	5  	13  	74.34 	1.28 	85.24 	-1.67
1526	-7  	5  	15  	26.48 	0.64 	29.32 	3.01
1527	-7  	6  	2  	14.24 	2.98 	26.43 	0.36
1528	-7  	6  	3  	11.87 	4.62 	24.27 	-2.73
1529	-7  	6  	4  	35.45 	8.21 	41.35 	0.10
1530	-7  	6  	5  	16.34 	3.92 	36.99 	-0.80
1531	-7  	6  	6  	14.33 	2.93 	32.34 	-0.61
1532	-7  	6  	7  	15.24 	2.92 	14.32 	2.39
1533	-7  	6  	8  	15.19 	2.91 	34.33 	2.73
1534	-7  	6  	9  	22.55 	9.34 	3.80 	2.89
1535	-7  	6  	11  	23.69 	5.12 	27.69 	0.07
1536	-7  	7  	1  	285.27 	4.63 	259.75 	3.09
1537	-7  	7  	2  	45.07 	2.30 	50.99 	1.92
1538	-7  	7  	3  	310.06 	3.27 	257.56 	-2.01
1539	-7  	7  	4  	226.55 	3.59 	226.04 	-1.61
1540	-7  	7  	5  	61.02 	2.60 	68.67 	1.36
1541	-7  	7  	6  	196.57 	2.26 	194.47 	2.66
1542	-7  	7  	7  	151.05 	2.58 	125.78 	-1.98
1543	-7  	7  	8  	75.10 	0.96 	80.20 	-2.14
1544	-7  	7  	9  	16.31 	2.88 	26.75 	-2.11
1545	-7  	7  	10  	101.40 	2.55 	97.92 	-2.71
1546	-7  	7  	11  	131.62 	2.23 	101.44 	2.81
1547	-7  	7  	12  	19.98 	1.59 	16.29 	0.38
1548	-7  	7  	13  	18.66 	1.58 	24.03 	-1.03
1549	-7  	7  	14  	51.75 	0.63 	50.01 	-2.37
1550	-7  	7  	15  	11.34 	2.20 	8.98 	1.08
1551	-7  	8  	1  	22.30 	9.51 	13.75 	-2.07
1552	-7  	8  	3  	32.15 	9.42 	32.73 	1.56
1553	-7  	8  	4  	13.90 	5.82 	31.86 	-1.84
1554	-7  	8  	5  	15.78 	4.83 	17.39 	-2.36
1555	-7  	8  	6  	31.75 	9.30 	33.03 	2.45
1556	-7  	8  	7  	13.10 	5.11 	15.87 	1.04
1557	-7  	8  	9  	13.96 	1.59 	22.99 	-1.64
1558	-7  	8  	10  	12.97 	4.11 	19.27 	-1.08
1559	-7  	8  	12  	11.32 	3.46 	9.40 	-2.69
1560	-7  	9  	1  	128.00 	2.60 	118.51 	1.28
1561	-7  	9  	2  	130.94 	1.29 	128.75 	2.13
1562	-7  	9  	3  	178.28 	1.93 	174.92 	1.24
1563	-7  	9  	4  	204.08 	2.88 	152.23 	-0.61
1564	-7  	9  	5  	121.87 	1.60 	101.53 	-1.71
1565	-7  	9  	6  	138.86 	2.22 	130.83 	1.03
1566	-7  	9  	7  	56.66 	1.27 	41.25 	-1.20
1567	-7  	9  	8  	221.43 	2.84 	201.06 	-2.55
1568	-7  	9  	9  	231.38 	4.40 	182.22 	-1.59
1569	-7  	9  	10  	54.22 	2.19 	27.62 	-0.60
1570	-7  	9  	11  	49.37 	2.19 	35.80 	0.47
1571	-7  	9  	13  	23.94 	1.55 	28.07 	-1.87
1572	-7  	9  	14  	13.96 	2.79 	24.69 	1.09
1573	-7  	10  	2  	20.80 	4.48 	18.30 	2.94
1574	-7  	10  	4  	18.07 	1.90 	32.83 	1.92
1575	-7  	10  	6  	16.35 	5.03 	8.00 	-0.59
1576	-7  	10  	7  	20.05 	6.58 	22.83 	-3.04
1577	-7  	10  	9  	14.62 	2.80 	15.24 	-0.80
1578	-7  	10  	10  	13.34 	4.34 	34.76 	0.76
1579	-7  	11  	1  	41.97 	2.86 	31.15 	1.35
1580	-7  	11  	2  	121.81 	1.27 	128.67 	2.09
1581	-7  	11  	3  	117.46 	1.57 	141.29 	2.90
1582	-7  	11  	4  	55.81 	1.88 	83.45 	2.62
1583	-7  	11  	5  	99.91 	1.25 	71.98 	1.21
1584	-7  	11  	6  	86.13 	1.24 	44.45 	0.89
1585	-7  	11  	8  	36.73 	1.54 	29.34 	-1.77
1586	-7  	11  	9  	66.45 	2.15 	89.81 	-2.07
1587	-7  	11  	10  	17.17 	2.15 	13.61 	-1.75
1588	-7  	11  	11  	36.39 	4.89 	14.52 	-2.23
1589	-7  	11  	12  	15.25 	3.35 	20.31 	1.82
1590	-7  	11  	13  	12.47 	2.74 	19.50 	-0.42
1591	-7  	12  	2  	16.87 	5.31 	19.31 	-1.00
1592	-7  	12  	4  	11.77 	5.57 	18.70 	-2.72
1593	-7  	12  	6  	15.97 	4.91 	9.20 	1.20
1594	-7  	12  	7  	19.89 	3.37 	10.15 	-0.35
1595	-7  	12  	9  	13.07 	4.86 	12.43 	-1.06
1596	-7  	12  	10  	11.51 	5.45 	17.75 	-2.05
1597	-7  	12  	12  	11.45 	2.71 	19.97 	0.72
1598	-7  	13  	1  	43.37 	1.24 	48.65 	-0.49
1599	-7  	13  	2  	94.33 	3.39 	79.25 	0.30
1600	-7  	13  	3  	71.80 	1.53 	58.16 	1.42
1601	-7  	13  	4  	17.11 	2.75 	17.97 	-0.37
1602	-7  	13  	5  	67.23 	1.52 	83.73 	-1.61
1603	-7  	13  	6  	105.14 	1.51 	86.35 	-2.27
1604	-7  	13  	7  	86.33 	1.51 	91.63 	-2.01
1605	-7  	13  	8  	32.48 	2.11 	31.88 	-2.39
1606	-7  	13  	9  	19.48 	2.70 	19.50 	2.80
1607	-7  	13  	10  	24.80 	2.09 	19.72 	1.84
1608	-7  	13  	12  	18.13 	2.67 	14.48 	-1.08
1609	-7  	15  	1  	26.45 	4.21 	18.76 	-1.43
1610	-7  	15  	2  	30.21 	2.09 	30.78 	0.98
1611	-7  	15  	3  	13.99 	5.36 	31.02 	0.17
1612	-7  	15  	4  	50.68 	1.48 	46.09 	-2.12
1613	-7  	15  	5  	79.69 	2.07 	115.02 	-3.03
1614	-7  	15  	6  	39.10 	2.06 	35.77 	-3.09
1615	-7  	15  	7  	27.82 	2.64 	13.93 	0.86
1616	-7  	15  	8  	32.97 	2.04 	34.09 	-1.30
1617	-7  	15  	9  	42.46 	2.04 	58.94 	-2.30
1618	-7  	15  	10  	27.54 	2.61 	28.63 	2.45
1619	-7  	16  	2  	13.24 	5.88 	9.81 	1.72
1620	-7  	16  	3  	12.59 	5.86 	7.63 	-2.82
1621	-7  	16  	8  	14.35 	3.16 	16.73 	-0.41
1622	-7  	17  	1  	16.26 	2.61 	13.63 	1.07
1623	-7  	17  	2  	15.02 	4.04 	23.21 	2.92
1624	-7  	17  	3  	33.65 	3.16 	26.62 	-2.60
1625	-7  	17  	4  	34.07 	1.43 	48.45 	-1.30
1626	-7  	17  	5  	60.44 	1.43 	47.47 	-1.04
1627	-7  	17  	6  	23.00 	2.56 	18.03 	-1.25
1628	-6  	0  	1  	470.72 	12.91 	472.73 	3.14
1629	-6  	0  	2  	432.25 	11.50 	377.65 	3.14
1630	-6  	0  	3  	19.88 	5.39 	58.83 	0.00
1631	-6  	0  	4  	86.27 	1.68 	72.87 	3.14
1632	-6  	0  	5  	15.05 	1.34 	32.21 	3.14
1633	-6  	0  	11  	106.63 	1.65 	88.13 	3.14
1634	-6  	0  	12  	11.17 	2.63 	16.97 	3.14
1635	-6  	0  	13  	83.28 	2.30 	72.09 	0.00
1636	-6  	0  	14  	97.89 	2.29 	81.44 	0.00
1637	-6  	1  	2  	18.25 	8.45 	63.31 	1.65
1638	-6  	1  	4  	17.45 	1.68 	35.18 	-0.18
1639	-6  	1  	5  	11.37 	5.35 	13.88 	-0.56
1640	-6  	1  	6  	6.66 	1.67 	25.86 	-2.73
1641	-6  	1  	10  	11.21 	1.65 	7.55 	-2.43
1642	-6  	1  	12  	9.52 	1.64 	8.80 	1.40
1643	-6  	1  	14  	6.54 	2.94 	2.98 	-1.22
1644	-6  	2  	1  	288.06 	4.74 	280.88 	2.89
1645	-6  	2  	2  	363.15 	3.04 	333.63 	1.65
1646	-6  	2  	3  	109.26 	3.70 	142.13 	0.37
1647	-6  	2  	4  	149.72 	1.34 	148.53 	0.28
1648	-6  	2  	5  	44.73 	1.34 	78.06 	2.28
1649	-6  	2  	6  	17.97 	1.33 	43.19 	2.86
1650	-6  	2  	7  	215.59 	4.98 	194.37 	2.53
1651	-6  	2  	8  	67.80 	8.93 	139.19 	2.56
1652	-6  	2  	9  	584.22 	27.38 	541.47 	1.24
1653	-6  	2  	10  	304.41 	6.58 	262.39 	-0.70
1654	-6  	2  	11  	120.19 	4.27 	98.93 	3.07
1655	-6  	2  	12  	46.87 	2.95 	74.43 	2.74
1656	-6  	2  	13  	46.46 	4.58 	45.88 	-2.92
1657	-6  	2  	14  	32.99 	2.29 	44.34 	-1.91
1658	-6  	2  	15  	36.87 	2.94 	39.08 	2.14
1659	-6  	2  	16  	10.43 	4.24 	21.80 	-2.16
1660	-6  	3  	1  	17.57 	4.73 	12.59 	2.98
1661	-6  	3  	2  	21.20 	6.73 	30.98 	3.11
1662	-6  	3  	3  	10.39 	2.68 	21.23 	-2.70
1663	-6  	3  	4  	11.36 	3.67 	2.36 	-3.11
1664	-6  	3  	5  	8.32 	3.00 	6.48 	2.54
1665	-6  	3  	7  	14.89 	5.29 	40.46 	2.18
1666	-6  	3  	9  	19.41 	6.58 	25.87 	2.85
1667	-6  	3  	12  	11.77 	1.63 	28.64 	-2.72
1668	-6  	4  	1  	231.99 	3.70 	219.40 	-0.67
1669	-6  	4  	2  	470.44 	6.04 	408.83 	-1.26
1670	-6  	4  	3  	262.53 	2.67 	292.97 	1.12
1671	-6  	4  	4  	235.27 	1.33 	176.18 	1.75
1672	-6  	4  	5  	261.31 	3.65 	245.39 	-0.80
1673	-6  	4  	6  	152.05 	1.98 	174.74 	-0.40
1674	-6  	4  	7  	423.12 	5.93 	348.83 	2.12
1675	-6  	4  	8  	603.97 	10.84 	563.89 	1.81
1676	-6  	4  	9  	623.38 	7.54 	583.52 	0.77
1677	-6  	4  	10  	23.54 	1.31 	35.70 	1.68
1678	-6  	4  	11  	107.99 	2.28 	97.39 	2.19
1679	-6  	4  	12  	13.35 	2.28 	4.28 	1.72
1680	-6  	4  	13  	19.83 	1.63 	13.33 	0.83
1681	-6  	4  	14  	29.86 	0.65 	25.07 	-3.08
1682	-6  	4  	15  	13.29 	1.62 	21.95 	-0.85
1683	-6  	5  	1  	13.74 	4.69 	38.72 	-2.02
1684	-6  	5  	2  	13.35 	4.67 	8.56 	-1.37
1685	-6  	5  	3  	34.57 	12.63 	15.95 	-0.21
1686	-6  	5  	4  	11.26 	2.32 	15.24 	-1.34
1687	-6  	5  	5  	23.10 	8.25 	51.95 	0.01
1688	-6  	5  	8  	17.00 	4.25 	18.66 	1.94
1689	-6  	5  	9  	13.05 	3.59 	12.77 	-0.51
1690	-6  	5  	12  	8.75 	3.56 	7.26 	1.14
1691	-6  	6  	1  	104.59 	2.00 	73.28 	0.36
1692	-6  	6  	2  	307.49 	5.31 	278.88 	2.64
1693	-6  	6  	3  	107.05 	2.64 	90.43 	-1.58
1694	-6  	6  	4  	141.88 	1.32 	183.40 	-0.69
1695	-6  	6  	5  	298.20 	3.61 	239.90 	-0.88
1696	-6  	6  	6  	297.23 	3.60 	257.59 	-0.52
1697	-6  	6  	7  	56.07 	1.30 	76.56 	1.11
1698	-6  	6  	8  	203.82 	2.93 	148.70 	-2.88
1699	-6  	6  	9  	127.74 	2.59 	119.99 	-2.56
1700	-6  	6  	10  	41.40 	0.65 	36.33 	2.36
1701	-6  	6  	11  	140.72 	4.52 	108.53 	-0.85
1702	-6  	6  	12  	80.53 	1.61 	93.90 	-1.44
1703	-6  	6  	13  	42.12 	0.64 	62.00 	-1.83
1704	-6  	6  	14  	33.39 	0.64 	16.39 	-0.99
1705	-6  	6  	15  	10.26 	3.53 	13.23 	-0.11
1706	-6  	7  	1  	26.13 	11.25 	60.87 	-0.77
